Date_of_Week,Year,Month,Channel,Brand,Country,Category,Partnership,NMV,Item,ASP,PV
18/3/18,2018,Mar,LLLDD,CLR,SG,Health & Beauty,RT,1042.150888,219.887821,4.739466166,2809
4/3/18,2018,Mar,LLLDD,CLR,SG,Health & Beauty,RT,959.8955958,204.1569596,4.701752992,2599
11/2/18,2018,Feb,LLLDD,CLR,VN,Health & Beauty,RT,32685.20514,5257.44662,6.216935236,915774
11/2/18,2018,Feb,LLLDD,CLR,SG,Health & Beauty,RT,965.1246755,221.1542753,4.364033543,3442
31/12/17,2017,Dec,LLLDD,CLR,VN,Health & Beauty,RT,33298.20991,5665.59456,5.877266642,892055
31/12/17,2017,Dec,LLLDD,CLR,MY,Health & Beauty,MP,3845.397115,890.08661,4.320250492,18049
31/12/17,2017,Dec,LLLDD,CLR,SG,Health & Beauty,MP,212.7798428,31.68901,6.714625758,867
29/10/17,2017,Oct,LLLDD,CLR,ID,Health & Beauty,MP,1993.870364,767.99808,2.59619186,76991
7/1/18,2018,Jan,LLLDD,CLR,ID,Health & Beauty,RT,118.8441105,88.83313,1.33783545,2006
21/1/18,2018,Jan,LLLDD,CLR,MY,Health & Beauty,RT,1184.826669,579.57506,2.044302371,6661
18/2/18,2018,Feb,LLLDD,CLR,TH,Health & Beauty,MP,28964.61318,4014.21825,7.21550533,119133
18/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,RT,36.16719906,25.89379,1.396751849,989
18/3/18,2018,Mar,LLLDD,CLR,MY,Health & Beauty,RT,623.8368397,289.4053497,2.155581576,3647
28/1/18,2018,Jan,LLLDD,CLR,MY,Health & Beauty,RT,779.5929036,377.99052,2.062466814,4883
11/2/18,2018,Feb,LLLDD,CLR,MY,Health & Beauty,MP,2078.226412,397.95926,5.222208957,10940
25/2/18,2018,Feb,LLLDD,CLR,ID,Health & Beauty,RT,120.2648794,88.89379,1.352905297,2018
14/1/18,2018,Jan,LLLDD,CLR,VN,Health & Beauty,RT,31955.99101,5410.73305,5.906037263,897710
29/10/17,2017,Oct,LLLDD,CLR,SG,Health & Beauty,RT,406.1115888,93.59651,4.33896081,1722
18/2/18,2018,Feb,LLLDD,CLR,PH,Health & Beauty,RT,3850.470586,1721.82694,2.23627038,92727
18/2/18,2018,Feb,LLLDD,CLR,SG,Health & Beauty,RT,997.5454254,232.6791517,4.287214467,3347
18/3/18,2018,Mar,LLLDD,CLR,SG,Health & Beauty,MP,0,0,,51
28/1/18,2018,Jan,LLLDD,CLR,PH,Health & Beauty,RT,4094.400861,1829.92818,2.237465331,99098
28/1/18,2018,Jan,LLLDD,CLR,ID,Health & Beauty,MP,2970.825302,1528.34053,1.943824196,60880
25/2/18,2018,Feb,LLLDD,CLR,PH,Health & Beauty,RT,3916.855587,1757.5941,2.228532508,92988
31/12/17,2017,Dec,LLLDD,CLR,SG,Health & Beauty,RT,974.9103418,233.66362,4.172281255,3669
14/1/18,2018,Jan,LLLDD,CLR,MY,Health & Beauty,MP,2703.76757,581.38091,4.650595717,12967
4/2/18,2018,Feb,LLLDD,CLR,MY,Health & Beauty,RT,629.6335151,295.84724,2.128238597,3680
7/1/18,2018,Jan,LLLDD,CLR,MY,Health & Beauty,MP,3355.473871,722.69155,4.64302353,15005
7/1/18,2018,Jan,LLLDD,CLR,TH,Health & Beauty,MP,35399.43812,5160.3474,6.859894379,131521
21/1/18,2018,Jan,LLLDD,CLR,PH,Health & Beauty,RT,3933.499957,1779.47015,2.21048943,97564
25/3/18,2018,Mar,LLLDD,CLR,MY,Health & Beauty,MP,2028.97903,382.9118048,5.298815562,17067
4/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,RT,39.1101083,27.33001,1.431031613,994
11/2/18,2018,Feb,LLLDD,CLR,ID,Health & Beauty,MP,3435.354792,1695.3341,2.026358576,62230
25/2/18,2018,Feb,LLLDD,CLR,TH,Health & Beauty,MP,31030.41069,4286.94335,7.238353333,127703
10/12/17,2017,Dec,SE,CLR,TH,Others,RT,258.2628372,50,5.165256743,1156
2/4/17,2017,Apr,LLLDD,CLR,PH,Health & Beauty,RT,1063.649505,451.75956,2.354459317,48358
14/1/18,2018,Jan,LLLDD,CLR,MY,Health & Beauty,RT,1186.184158,578.88041,2.049100535,6819
4/2/18,2018,Feb,LLLDD,CLR,VN,Health & Beauty,RT,32664.03982,5243.50795,6.229425059,914457
25/3/18,2018,Mar,LLLDD,CLR,MY,Health & Beauty,RT,627.5005602,293.9474413,2.134737276,3651
18/2/18,2018,Feb,LLLDD,CLR,MY,Health & Beauty,RT,612.0257895,289.16136,2.116554541,3646
28/1/18,2018,Jan,LLLDD,CLR,VN,Health & Beauty,RT,33931.44814,5799.29667,5.850959188,950847
4/3/18,2018,Mar,LLLDD,CLR,SG,Health & Beauty,MP,0,0,,51
11/2/18,2018,Feb,LLLDD,CLR,TH,Health & Beauty,MP,27584.54137,3794.21752,7.270152863,109745
11/2/18,2018,Feb,LLLDD,CLR,ID,Health & Beauty,RT,120.2648794,88.89379,1.352905297,2006
25/2/18,2018,Feb,LLLDD,CLR,VN,Health & Beauty,RT,32110.50937,5127.13166,6.262860309,857174
25/2/18,2018,Feb,LLLDD,CLR,ID,Health & Beauty,MP,3612.037204,1778.04077,2.031470406,63232
31/12/17,2017,Dec,LLLDD,CLR,PH,Health & Beauty,RT,4964.762063,2312.4039,2.147013358,105977
31/12/17,2017,Dec,LLLDD,CLR,MY,Health & Beauty,RT,937.8357623,443.1445,2.116320438,5819
14/1/18,2018,Jan,LLLDD,CLR,TH,Health & Beauty,MP,26720.98106,3809.42879,7.014432487,107588
7/1/18,2018,Jan,LLLDD,CLR,VN,Health & Beauty,RT,32516.8231,5530.12106,5.879947789,913762
21/1/18,2018,Jan,LLLDD,CLR,TH,Health & Beauty,MP,27459.46763,3889.48962,7.059915391,108306
25/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,RT,36.16719906,25.89379,1.396751849,987
25/3/18,2018,Mar,LLLDD,CLR,SG,Health & Beauty,RT,1041.312991,222.8085295,4.673577771,2880
28/1/18,2018,Jan,LLLDD,CLR,SG,Health & Beauty,MP,0,0,,53
4/3/18,2018,Mar,LLLDD,CLR,MY,Health & Beauty,RT,616.5433454,289.22562,2.131703773,0
4/3/18,2018,Mar,LLLDD,CLR,TH,Health & Beauty,MP,29165.8209,4023.600591,7.248686901,117537
31/12/17,2017,Dec,LLLDD,CLR,ID,Health & Beauty,MP,3087.738544,1599.77881,1.930103415,65158
14/1/18,2018,Jan,LLLDD,CLR,PH,Health & Beauty,RT,3883.489975,1754.45017,2.213508278,96411
21/1/18,2018,Jan,LLLDD,CLR,ID,Health & Beauty,MP,2667.770154,1391.77765,1.916807727,55396
21/1/18,2018,Jan,LLLDD,CLR,SG,Health & Beauty,MP,101.8985812,13.77974,7.394811599,53
25/3/18,2018,Mar,LLLDD,CLR,PH,Health & Beauty,RT,3969.844438,1836.265352,2.161912185,83483
25/3/18,2018,Mar,LLLDD,CLR,PH,Health & Beauty,MP,113.3231041,29.67033259,3.819407947,449
25/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,MP,3140.530669,1653.901295,1.89886221,57200
18/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,MP,3086.946788,1609.99124,1.917368686,57105
4/3/18,2018,Mar,LLLDD,CLR,ID,Health & Beauty,MP,3352.423803,1706.83722,1.964114541,59466
11/2/18,2018,Feb,LLLDD,CLR,SG,Health & Beauty,MP,0,0,,51
2/4/17,2017,Apr,LLLDD,CLR,VN,Health & Beauty,RT,6281.747282,1925.2222,3.262868713,183277
29/10/17,2017,Oct,LLLDD,CLR,SG,Health & Beauty,MP,323.1275055,41,7.88115867,2627
4/2/18,2018,Feb,LLLDD,CLR,ID,Health & Beauty,MP,3265.825204,1643.26579,1.987399253,60364
4/2/18,2018,Feb,LLLDD,CLR,SG,Health & Beauty,RT,953.8805162,223.78353,4.262514387,3478
4/2/18,2018,Feb,LLLDD,CLR,SG,Health & Beauty,MP,0,0,,53
7/1/18,2018,Jan,LLLDD,CLR,SG,Health & Beauty,RT,1016.018454,236.90989,4.288628281,3820
21/1/18,2018,Jan,LLLDD,CLR,SG,Health & Beauty,RT,944.2499148,226.17508,4.174862742,3967
25/3/18,2018,Mar,LLLDD,CLR,TH,Health & Beauty,MP,37874.61834,4938.143994,7.66980841,207208
25/3/18,2018,Mar,LLLDD,CLR,VN,Health & Beauty,RT,28632.84055,4568.184444,6.26788189,787967
18/2/18,2018,Feb,LLLDD,CLR,MY,Health & Beauty,MP,2105.576848,401.38981,5.24571575,11196
